CATEGORY,BRAND,MODEL,MRP,TOTAL TENURE,ADVANCE EMI,DBD,PF,ROI,FIXED EMI,MIN L,MAX L,EXPIRY,,,,,,,,,,,,,
LAPTOP,ACER,NXKSMSI003 97849,97849,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NXKSMSI003 97849,97849,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NXKU7SI001 97849,97849,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NXKU7SI001 97849,97849,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NXKU7SI003 72098.97,72098.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NXKYXSI001 92699,92699,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,NXKYXSI001 92699,92699,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI041 72099,72099,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI042 70039,70039,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI04H 70039,70039,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI04L 75189,75189,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI054 75189,75189,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI055 72099,72099,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI06Q 70039,70039,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI06S 71069,71069,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI06T 61798.97,61798.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN31ZSI07V 54588.97,54588.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI005 61799,61799,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00A 64889,64889,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00Q 66949,66949,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00R 61799,61799,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00T 85489,85489,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00U 92699,92699,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00V 85489,85489,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00W 98879,98879,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI00W 98879,98879,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI010 70039,70039,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI011 64889,64889,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI015 82399,82399,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI01G 87549,87549,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI01U 87549,87549,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI020 85489,85489,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI026 72098.97,72098.97,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN347SI026 72098.97,72098.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34CSI004 65919,65919,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34CSI00B 67979,67979,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34CSI00Z 60768.97,60768.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34ESI02E 65918.97,65918.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34ESI02F 60768.97,60768.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34ESI02H 65918.97,65918.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34ESI02J 60768.97,60768.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI001 92699,92699,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI001 92699,92699,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI002 95789,95789,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI002 95789,95789,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI007 97849,97849,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI007 97849,97849,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI009 75189,75189,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00A 78279,78279,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00B 85489,85489,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00B 85489,85489,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00J 88579,88579,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00J 88579,88579,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00Q 102999,102999,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00Q 102999,102999,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI00Q 102999,102999,18,6,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI014 121539,121539,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34LSI014 121539,121539,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI00E 77249,77249,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI00K 60254,60254,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI00M 77249,77249,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI018 77249,77249,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI01J 80339,80339,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI01N 77249,77249,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI01U 63343.97,63343.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN34YSI01X 63858.97,63858.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN35GSI002 75189,75189,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN35NSI004 75180,75180,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN35NSI005 66940,66940,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN35NSI006 75180,75180,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN370SI002 92699,92699,6,0,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN370SI002 92699,92699,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN378SI002 70039,70039,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UN378SI008 64888.97,64888.97,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND2GSI002 73129,73129,15,5,1.5,599,,,,,,,,,,,,,,,,,,
LAPTOP,ACER,UND2GSI003 64889,64889,15,5,1.5,599,,,,,,,,,,,,,,,,,,
